StateID,State,Abreviation,Date of statehood,Capital,Capital since,Land area In Sq Miles,Most populous city,Municipal population,Metropolitan population
1,Alabama,AL,1819,Montgomery,1846,155.4,No,"2,05,764","3,74,536"
2,Alaska,AK,1959,Juneau,1906,2716.7,No,"31,275",700545
3,Arizona,AZ,1912,Phoenix,1889,474.9,Yes,"14,45,632","41,92,887"
4,Arkansas,AR,1836,Little Rock,1821,116.2,Yes,"1,93,524","8,77,091"
5,California,CA,1850,Sacramento,1854,97.2,No,"4,66,488","25,27,123"
6,Colorado,CO,1876,Denver,1867,153.4,Yes,"6,00,158","25,52,195"
7,Connecticut,CT,1788,Hartford,1875,17.3,No,"1,24,512","12,12,381"
8,Delaware,DE,1787,Dover,1777,22.4,No,"36,047","1,62,310"
9,Florida,FL,1845,Tallahassee,1824,95.7,No,"1,81,412","3,67,413"
10,Georgia,GA,1788,Atlanta,1868,131.7,Yes,"4,20,003","52,68,860"
11,Hawaii,HI,1959,Honolulu,1845,85.7,Yes,"3,37,256","9,53,207"
12,Idaho,ID,1890,Boise,1865,63.8,Yes,"2,05,671","6,16,561"
13,Illinois,IL,1818,Springfield,1837,54,No,"1,16,250","2,08,182"
14,Indiana,IN,1816,Indianapolis,1825,361.5,Yes,"8,29,718","17,56,221"
15,Iowa,IA,1846,Des Moines,1857,75.8,Yes,"2,03,433","5,80,255"
16,Kansas,KS,1861,Topeka,1856,56,No,"1,27,473","2,30,824"
17,Kentucky,KY,1792,Frankfort,1792,14.7,No,"25,527","70,758"
18,Louisiana,LA,1812,Baton Rouge,1880,76.8,No,"2,29,553","8,02,484"
19,Maine,ME,1820,Augusta,1832,55.4,No,"19,136","1,17,114"
20,Maryland,MD,1788,Annapolis,1694,6.73,No,"38,394",2150811
21,Massachusetts,MA,1788,Boston,1630,48.4,Yes,"6,17,594","45,22,858"
22,Michigan,MI,1837,Lansing,1847,35,No,"1,14,297","4,64,036"
23,Minnesota,MN,1858,Saint Paul,1849,52.8,No,"2,85,068","35,02,891"
24,Mississippi,MS,1817,Jackson,1821,104.9,Yes,"1,73,514","5,39,057"
25,Missouri,MO,1821,Jefferson City,1826,27.3,No,"43,079","1,49,807"
26,Montana,MT,1889,Helena,1875,14,No,"28,190","74,801"
27,Nebraska,NE,1867,Lincoln,1867,74.6,No,"2,58,379","3,02,157"
28,Nevada,NV,1864,Carson City,1861,143.4,No,"55,274",56034
29,New Hampshire,NH,1788,Concord,1808,64.3,No,"42,695",406678
30,New Jersey,NJ,1787,Trenton,1784,7.66,No,"84,913","3,66,513"
31,New Mexico,NM,1912,Santa Fe,1610,37.3,No,"75,764","1,83,732"
32,New York,NY,1788,Albany,1797,21.4,No,"97,856","8,57,592"
33,North Carolina,NC,1789,Raleigh,1792,114.6,No,"4,03,892","11,30,490"
34,North Dakota,ND,1889,Bismarck,1883,26.9,No,"61,272","1,08,779"
35,Ohio,OH,1803,Columbus,1816,210.3,Yes,"7,87,033","18,36,536"
36,Oklahoma,OK,1907,Oklahoma City,1910,607,Yes,"5,80,000","12,52,987"
37,Oregon,OR,1859,Salem,1855,45.7,No,"1,54,637","3,90,738"
38,Pennsylvania,PA,1787,Harrisburg,1812,8.11,No,"49,528","6,47,390"
39,Rhode Island,RI,1790,Providence,1900,18.5,Yes,"1,78,042","16,30,956"
40,South Carolina,SC,1788,Columbia,1786,125.2,Yes,"1,31,686","9,13,797"
41,South Dakota,SD,1889,Pierre,1889,13,No,"13,646",268232
42,Tennessee,TN,1796,Nashville,1826,473.3,No,"6,35,710","15,82,264"
43,Texas,TX,1845,Austin,1839,251.5,No,"8,42,592","17,16,291"
44,Utah,UT,1896,Salt Lake City,1858,109.1,Yes,"1,86,440","11,24,197"
45,Vermont,VT,1791,Montpelier,1805,10.2,No,"7,855",220411
46,Virginia,VA,1788,Richmond,1780,60.1,No,"2,04,214","12,31,675"
47,Washington,WA,1889,Olympia,1853,16.7,No,"46,478","2,34,670"
48,West Virginia,WV,1863,Charleston,1885,31.6,Yes,"51,400","3,04,214"
49,Wisconsin,WI,1848,Madison,1838,68.7,No,"2,33,209","5,61,505"
50,Wyoming,WY,1890,Cheyenne,1869,21.1,Yes,"59,466","91,738"
51,American Samoa,AS,1929,Pago Pago,1899,76.8,No,"46,366",46366
52,Diamond Princess,DP,2020,Diamond Princess,2020,0.11,No,"3,711",3711
53,District of Columbia,DC,1790,Washington DC,1790,68.34,No,692683,692683
54,Grand Princess,GP,2020,Grand Princess,2020,0.11,No,"3,533",3533
55,Guam,GU,1983,Hagatna,1983,0.21,No,"168,801",168801
56,Northern Mariana Islands,MP,1986,Saipan,1986,0.18,No,"51,659",51659
57,Virgin Islands,VI,1917,Charlotte Amalie,1917,0.14,No,"105,870",105870
58,Bureau of Prisons,BP,,,,,,,
59,Dept of Defense,DD,,,,,,,
60,Federated States of Micronesia,FM,1979,Palikir,1979,0.27,No,"104,468",104468
61,Indian Health Svc,IH,,,,,,,
62,Marshall Islands,MH,1979,Majuro,1979,0.07,No,58413,58413
63,Republic of Palau,PW,1981,Ngerulmud,1981,0.18,No,17907,17907
64,Veterans Health,VH,,,,,,,
65,Puerto Rico,PR,1899,San Juan,1899,3.51,No,,
